time_day,S_reference,I_reference,R_reference,I_your_euler,I_RK4
0.0,990.0,10.0,0.0,10.0,10.0
0.5,988.158024611879,11.30988560775872,0.5320897803621013,11.2325,11.309883254362745
1.0,986.0792570361021,12.786968859022219,1.133774104875402,12.61350007140625,12.78696358804636
1.5,983.734719604727,14.45137287502488,1.8139075202478654,14.160001621895713,14.45136403507185
2.0,981.0922924018373,16.325305292975088,2.5824023051873817,15.890719816705385,16.325292133553408
2.5,978.1164845830497,18.43317961811459,3.4503357988354235,17.82619473612103,18.43316128176703
3.0,974.7682218879631,20.801714817113606,4.430063294922945,19.988892205095812,20.80169033465364
3.5,971.0046625645155,23.46000228328499,5.535335152199267,22.403287896274186,23.4599705679263
4.0,966.7790571516849,26.43952668752234,6.7814161607925705,25.095926663697018,26.439486531882633
4.5,962.0406711802843,29.774124355971356,8.185204463744173,28.095447173651753,29.774074432603758
5.0,956.7347938128672,33.49985974904381,9.765346438088718,31.43255977764896,33.499798615083535
5.5,950.8028595600391,37.65479755003649,11.542342889924237,35.13996326542269,37.654723656420316
6.0,944.1827142127147,42.27864506753215,13.538640719752967,39.25218372925562,42.278556781112364
6.5,936.8090595626164,47.412237539363986,15.778702898019317,43.80531640641088,47.41213318000115
7.0,928.614113779572,53.096838027696236,18.289048192731414,48.836649257333356,53.09671588578067
7.5,919.5285248607529,59.3732244488722,21.0982506903745,54.384145485141936,59.37308281660211
8.0,909.4825722226666,66.28053997812187,24.236887799211125,60.48576161075367,66.28037726647288
8.5,898.4076848021945,73.85489066604033,27.737424531764727,67.1785786016564,73.85470540704155
9.0,886.2382935068746,82.12768523622036,31.634021256904607,74.49772652939251,82.1274761737858
9.5,872.914018173892,91.12372977004789,35.962252056059626,82.47508899811996,91.12349598236112
10.0,858.3821649203651,100.85911245551604,40.75872262411832,91.13778286263636,100.85885341624692
10.5,842.600480293904,111.33894153969406,46.06057816640148,100.50642218194218,111.33865704186117
11.0,825.5400725241225,122.55503101723467,51.904896458642334,110.59319335672579,122.55472157612977
11.5,807.1883687036056,134.4836645483291,58.32796674806475,121.39979098669566,134.4833312629538
12.0,787.5519420360121,147.08359612197523,65.36446184201225,132.91529052658848,147.08324066368345
12.5,766.659007699635,160.29447233927579,73.04651996108872,145.11406281398814,160.29409705107614
13.0,744.5613660837001,174.035871497362,81.40276241893751,157.9538644242814,174.03547937018234
13.5,721.3355714834723,188.20714596852918,90.45728254799809,171.3742628941056,188.20674056049307
14.0,697.0831266449127,202.68822315540882,100.22865019967817,185.29557249386139,202.68780853566034
14.5,671.9295536237421,217.34146394904866,110.72898242720888,199.61847925659117,217.34104464429123
15.0,646.0222674382198,232.01459842554374,121.96313413623604,214.2245184944331,232.01417929501682
15.5,619.5272755360706,246.54466336082407,133.92806110310477,228.97753052700514,246.5442494941506
16.0,592.624831825916,260.76276671759666,146.61240145648682,243.72615986697778,260.76236339144026
16.5,565.5042751235665,274.4994141524256,159.99631072400751,258.3073823787082,274.4990263378455
17.0,538.3583662300433,287.59006335698507,174.05157041297122,272.55095089500713,287.5896954421379
17.5,511.3774872254146,299.8805404727238,188.74197230186107,286.2845533214286,299.880196514082
18.0,484.7440761880016,311.23196113376036,204.0239626782374,299.339391826649,311.23164470366436
18.5,458.6276430321789,321.52484340232047,219.84751356550004,311.5558310210413,321.52455746484884
19.0,433.18064409568154,330.66218154425576,236.15717436006216,322.78873820193405,330.66192840595073
19.5,408.5354022197864,338.57134953856075,252.89324824165223,332.91215572682336,338.57113080765566
20.0,384.8021574220526,345.20480881827206,269.9930337596748,341.8230034352457,345.2046253981297
20.5,362.0682346115001,350.53969216569845,287.3920732228009,349.4435998652598,350.539544287416
21.0,340.3982312861501,354.5764135415885,305.0253551722608,355.7229014510377,354.5763007986282
21.5,319.8350673544248,357.3365055156233,322.82842712995136,360.63647295447015,357.336426881062
22.0,300.4017042127966,358.8599101514432,340.73838563575964,364.1853047198821,358.85986428718485
22.5,282.103327968381,359.2019503128098,358.69472171880864,366.3936710772954,359.2019352909616
23.0,264.9298056823106,358.4301824063568,376.64001191133207,367.3062727209251,358.4301987348207
23.5,248.85822645527938,356.62132169607094,394.52045184864915,366.9849231199916,356.6213641874059
24.0,233.85542926202487,353.85833069178545,412.2862400461891,365.5050286800138,353.8583974821262
24.5,219.8803541356104,350.2278205525035,429.8918253118856,362.9520812717327,350.22791041295676
25.0,206.88619073469155,345.8177791204143,447.29603014489356,359.4183379466963,345.81788995889275
25.5,194.82226827853438,340.71566176204897,464.4620699594161,354.9998138851575,340.7157906167228
26.0,183.63566974062448,335.00684361053345,481.35748664884153,349.79366716665817,335.00698839839447
26.5,173.27256855074705,328.77341819389727,497.95401325535505,343.8960121742661,328.7735768932711
27.0,163.67931055116279,322.0933031706148,514.227386278222,337.40016474294714,322.09347389926336
27.5,154.80326017279302,315.0396195897637,530.1571202374428,330.3952972929201,315.0398004913072
28.0,146.59344014024313,307.6803025798864,545.72625727987,322.96546570519195,307.68049187896435
28.5,139.0009940325225,300.07790378221125,560.9211021852658,315.18896042616,300.07809989306975
29.0,131.9795005841457,292.28954794970997,575.7309514661439,307.1379307299445,292.28974945017717
29.5,125.48516691083691,284.3670095186182,590.1478235705445,298.87823168380277,284.3672150659005
30.0,119.47692522995851,276.35687945347127,604.1661953165698,290.46944676441103,276.3570878031576
30.5,116.67763688222878,265.60853246806545,617.7138306497053,278.9555092694378,265.6087366188793
31.0,114.04936043543131,255.21763286630863,630.7330066982596,267.82451494629765,255.21783407694448
31.5,111.57996915851848,245.17857255217697,643.2414582893042,257.07166374520966,245.17876900039587
32.0,109.258322652028,235.4850541692486,655.256623178723,246.6911803600261,235.48524686234683
32.5,107.07417119849332,226.13022006238035,666.795608739126,236.6764750092651,226.13040806053527
33.0,105.0180832996617,217.10674862936875,677.8751680709693,227.02028556864312,217.106932571352
33.5,103.08136852191248,208.40695311402615,688.511678364061,217.71480293245173,208.4071323515988
34.0,101.25601706022034,200.02285784533936,698.7211250944399,208.7517813263355,200.0230327376619
34.5,99.5346369044118,191.9462736651424,708.5190894304454,200.12263514410347,191.94644397959885
35.0,97.91040324939813,184.16885814344033,717.9207386071612,191.8185237383751,184.1690239425359
35.5,96.37700771358028,176.68217154132037,726.940820745099,183.83042546049487,176.68233291009147
36.0,94.92861572063944,169.47772451048763,735.5936597688726,176.14920211998987,169.47788133433266
36.5,93.55982568262218,162.54701882675977,743.8931554906178,168.76565491817382,162.54717129390463
37.0,92.2656328243826,155.8815843245078,751.8527828511093,161.6705728042767,155.88173234617815
