x_m,initial,analytic,your_explicit,backward_euler
0.0,0.0,0.0,0.0,0.0
0.03333333333333333,0.10452846326765346,0.08580414557593607,0.08578243265676463,0.08585660523121157
0.06666666666666667,0.20791169081775931,0.17066820297727037,0.17062501503021366,0.1707725475288602
0.1,0.3090169943749474,0.25366238383216816,0.25359819403341183,0.25381747005932964
0.13333333333333333,0.40673664307580015,0.3338773865275343,0.333792898153946,0.3340815152731088
0.16666666666666666,0.49999999999999994,0.4104343587077699,0.4103304974316511,0.41068529349450417
0.2,0.5877852522924731,0.482494526165092,0.4823724299123181,0.4827895176989508
0.23333333333333334,0.6691306063588582,0.5492683826252784,0.5491293891079452,0.5496041989172861
0.26666666666666666,0.7431448254773941,0.6100243397436238,0.6098699718037934,0.6103973015202108
0.3,0.8090169943749475,0.6640967425399382,0.663928691465063,0.6645027635538333
0.3333333333333333,0.8660254037844386,0.7108931624538072,0.7107132694466305,0.7113277942538168
0.36666666666666664,0.9135454576426009,0.7499008881158742,0.7497111241218277,0.7503593687850453
0.4,0.9510565162951535,0.7806925427208942,0.7804949868340073,0.781169849049072
0.43333333333333335,0.9781476007338057,0.8029307664574467,0.8027275831413572,0.8034216689766174
0.4666666666666667,0.9945218953682733,0.8163719126926263,0.8161653280662643,0.8168710329720613
0.5,1.0,0.8208687174155399,0.8206609948633024,0.8213705869890101
0.5333333333333333,0.9945218953682734,0.8163719126926263,0.8161653280662643,0.8168710329720621
0.5666666666666667,0.9781476007338057,0.8029307664574467,0.8027275831413572,0.8034216689766182
0.6,0.9510565162951536,0.7806925427208943,0.7804949868340073,0.7811698490490734
0.6333333333333333,0.913545457642601,0.7499008881158743,0.7497111241218277,0.7503593687850468
0.6666666666666666,0.8660254037844387,0.7108931624538073,0.7107132694466305,0.7113277942538185
0.7,0.8090169943749475,0.6640967425399382,0.663928691465063,0.6645027635538349
0.7333333333333333,0.7431448254773945,0.610024339743624,0.6098699718037935,0.6103973015202123
0.7666666666666666,0.6691306063588583,0.5492683826252786,0.5491293891079453,0.5496041989172873
0.8,0.5877852522924732,0.48249452616509203,0.48237242991231816,0.48278951769895173
0.8333333333333334,0.49999999999999994,0.4104343587077699,0.4103304974316512,0.41068529349450467
0.8666666666666667,0.40673664307580004,0.33387738652753424,0.3337928981539461,0.3340815152731092
0.9,0.3090169943749475,0.25366238383216827,0.25359819403341183,0.2538174700593299
0.9333333333333333,0.20791169081775931,0.17066820297727037,0.17062501503021368,0.17077254752886037
0.9666666666666667,0.10452846326765373,0.0858041455759363,0.08578243265676465,0.08585660523121161
1.0,1.2246467991473532e-16,1.0052742473031342e-16,0.0,0.0
